,Name,Size,Shape,Dtype
265,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/pixelSize,1,"(1,)",float64
266,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjAmp,1,"(1,)",float64
267,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjAvg,1,"(1,)",float64
268,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjSigma,1,"(1,)",float64
269,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/verProjection,1200,"(1200,)",float64
270,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/width,1,"(1,)",int32
271,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/delayTime,1,"(1,)",float64
272,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/exposureTime,1,"(1,)",float64
273,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/gain,1,"(1,)",int64
274,AwakeEventData/BOVWA.07TCC4.AWAKECAM07/PublishedSettings/triggerMode,1,"(1,)",|S2
275,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/beamIntensity,1,"(1,)",float64
276,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/beamSize,1,"(1,)",float64
277,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/cogX,1,"(1,)",float64
278,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/cogY,1,"(1,)",float64
279,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/height,1,"(1,)",int32
280,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjAmp,1,"(1,)",float64
281,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjAvg,1,"(1,)",float64
282,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjSigma,1,"(1,)",float64
283,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/horProjection,1280,"(1280,)",float64
284,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/imageRawData,1228800,"(960, 1280)",int16
285,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/imageTimeStamp,1,"(1,)",int64
286,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityAvg,1,"(1,)",float64
287,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityHistogram,1000,"(1000,)",int32
288,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensityRMS,1,"(1,)",float64
289,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/intensitySigma,1,"(1,)",float64
290,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/pixelSize,1,"(1,)",float64
291,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjAmp,1,"(1,)",float64
292,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjAvg,1,"(1,)",float64
293,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjSigma,1,"(1,)",float64
294,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/verProjection,960,"(960,)",float64
295,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/ExtractionImage/width,1,"(1,)",int32
296,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/delayTime,1,"(1,)",float64
297,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/exposureTime,1,"(1,)",float64
298,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/gain,1,"(1,)",int64
299,AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/triggerMode,1,"(1,)",|S2
300,AwakeEventData/BPM.AWAKE.TT41/Acquisition/bpmNames,32,"(32,)",|S15
301,AwakeEventData/BPM.AWAKE.TT41/Acquisition/dynDestination,1,"(1,)",|S5
302,AwakeEventData/BPM.AWAKE.TT41/Acquisition/horPosOk,0,"(0,)",NULL
303,AwakeEventData/BPM.AWAKE.TT41/Acquisition/horPosition,32,"(32,)",float32
304,AwakeEventData/BPM.AWAKE.TT41/Acquisition/nbOfBpms,1,"(1,)",int16
305,AwakeEventData/BPM.AWAKE.TT41/Acquisition/verPosOk,0,"(0,)",NULL
306,AwakeEventData/BPM.AWAKE.TT41/Acquisition/verPosition,32,"(32,)",float32
307,AwakeEventData/BTV.TT41.412354_FILTER/Acquisition/position,1,"(1,)",int32
308,AwakeEventData/BTV.TT41.412426_FWHEEL/Acquisition/position,1,"(1,)",int32
309,AwakeEventData/BTV.TT41.412426_MASK_H/Acquisition/position,1,"(1,)",int32
310,AwakeEventData/BTV.TT41.412426_MASK_V/Acquisition/position,1,"(1,)",int32
311,AwakeEventData/BTV.TT41.412442_FWHEEL/Acquisition/position,1,"(1,)",int32
312,AwakeEventData/BTV.TT41.412442_MASK_H/Acquisition/position,1,"(1,)",int32
313,AwakeEventData/BTV.TT41.412442_MASK_V/Acquisition/position,1,"(1,)",int32
314,AwakeEventData/EMETER02/Acq/outOfRange,1,(),bool
315,AwakeEventData/EMETER02/Acq/value,1,"(1,)",float32
316,AwakeEventData/EMETER02/Acq/value_units,1,"(1,)",|S1
317,AwakeEventData/EMETER03/Acq/outOfRange,1,(),bool
318,AwakeEventData/EMETER03/Acq/value,1,"(1,)",float32
319,AwakeEventData/EMETER03/Acq/value_units,1,"(1,)",|S1
320,AwakeEventData/EMETER04/Acq/outOfRange,1,(),bool
321,AwakeEventData/EMETER04/Acq/value,1,"(1,)",float32
322,AwakeEventData/EMETER04/Acq/value_units,1,"(1,)",|S1
323,AwakeEventData/EMETER05/Acq/outOfRange,1,(),bool
324,AwakeEventData/EMETER05/Acq/value,1,"(1,)",float32
325,AwakeEventData/EMETER05/Acq/value_units,1,"(1,)",|S1
326,AwakeEventData/FWHEEL01/Acq/backWheelPositionDescription,1,"(1,)",|S6
327,AwakeEventData/FWHEEL01/Acq/frontWheelPositionDescription,1,"(1,)",|S6
328,AwakeEventData/FWHEEL01/Acq/status,1,"(1,)",int32
329,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/bpmNames,14,"(14,)",|S18
330,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/horPos,14,"(14,)",float32
331,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/nbOfBpms,1,"(1,)",int32
332,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/posOK,1,"(1,)",NULL
333,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/sigma,14,"(14,)",int32
334,AwakeEventData/GD_BPM.AWAKE.TRIUMF/AcquisitionSPS/verPos,14,"(14,)",float32
335,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/bpmNames,14,"(14,)",|S18
336,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/horPos,14,"(14,)",float32
337,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/horPosSelected,14,"(14,)",float32
338,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/nbOfBpms,1,"(1,)",int32
339,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/posOK,1,"(1,)",NULL
340,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/posOkSelected,0,"(0,)",NULL
341,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/sigma,14,"(14,)",float32
342,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/sigmaSelected,14,"(14,)",int32
343,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/verPos,14,"(14,)",float32
344,AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition/verPosSelected,14,"(14,)",float32
345,AwakeEventData/LSSE2/Acq/position,1,"(1,)",int32
346,AwakeEventData/LSSP2/Acq/position,1,"(1,)",int32
347,AwakeEventData/MPP-TSG41-MIRROR1-H/Acquisition/position,1,"(1,)",int32
348,AwakeEventData/MPP-TSG41-MIRROR1-V/Acquisition/position,1,"(1,)",int32
349,AwakeEventData/MPP-TSG41-WHEEL1-BI/Acquisition/position,1,"(1,)",int32
350,AwakeEventData/MPP-VACTRANS-CTR/Acquisition/mmPosition,1,"(1,)",float64
351,AwakeEventData/MPP-VACTRANS-CTR/Acquisition/position,1,"(1,)",int32
352,AwakeEventData/MPP-VACTRANS-CTR/Acquisition/stepperBusy,1,(),bool
353,AwakeEventData/MPP-VACTRANS-CTR/Acquisition/switchIn,1,(),bool
354,AwakeEventData/MPP-VACTRANS-CTR/Acquisition/switchOut,1,(),bool
355,AwakeEventData/MPP-VACTRANS-OTR/Acquisition/mmPosition,1,"(1,)",float64
356,AwakeEventData/MPP-VACTRANS-OTR/Acquisition/position,1,"(1,)",int32
357,AwakeEventData/MPP-VACTRANS-OTR/Acquisition/stepperBusy,1,(),bool
358,AwakeEventData/MPP-VACTRANS-OTR/Acquisition/switchIn,1,(),bool
359,AwakeEventData/MPP-VACTRANS-OTR/Acquisition/switchOut,1,(),bool
360,AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/leftLimitSwitchReached,1,(),|S128
361,AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/position,1,(),|S128
362,AwakeEventData/MPPAWAKE-STANDA-08.AXIS01/Movement/rightLimitSwitchReached,1,(),|S128
363,AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/leftLimitSwitchReached,1,(),|S128
364,AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/position,1,(),|S128
365,AwakeEventData/MPPAWAKE-STANDA-08.AXIS02/Movement/rightLimitSwitchReached,1,(),|S128
366,AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/leftLimitSwitchReached,1,(),|S128
367,AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/position,1,(),|S128
368,AwakeEventData/MPPAWAKE-STANDA-08.AXIS03/Movement/rightLimitSwitchReached,1,(),|S128
369,AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/leftLimitSwitchReached,1,(),|S128
370,AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/position,1,(),|S128
371,AwakeEventData/MPPAWAKE-STANDA-08.AXIS04/Movement/rightLimitSwitchReached,1,(),|S128
372,AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/leftLimitSwitchReached,1,(),|S128
373,AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/position,1,(),|S128
374,AwakeEventData/MPPAWAKE-STANDA-08.AXIS09/Movement/rightLimitSwitchReached,1,(),|S128
375,AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/leftLimitSwitchReached,1,(),|S128
376,AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/position,1,(),|S128
377,AwakeEventData/MPPAWAKE-STANDA-08.AXIS10/Movement/rightLimitSwitchReached,1,(),|S128
378,AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/leftLimitSwitchReached,1,(),|S128
379,AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/position,1,(),|S128
380,AwakeEventData/MPPAWAKE-STANDA-08.AXIS11/Movement/rightLimitSwitchReached,1,(),|S128
381,AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/leftLimitSwitchReached,1,(),|S128
382,AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/position,1,(),|S128
383,AwakeEventData/MPPAWAKE-STANDA-08.AXIS12/Movement/rightLimitSwitchReached,1,(),|S128
384,AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/leftLimitSwitchReached,1,(),|S128
385,AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/position,1,(),|S128
386,AwakeEventData/MPPAWAKE-STANDA-12.AXIS01/Movement/rightLimitSwitchReached,1,(),|S128
387,AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/leftLimitSwitchReached,1,(),|S128
388,AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/position,1,(),|S128
389,AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement/rightLimitSwitchReached,1,(),|S128
390,AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/leftLimitSwitchReached,1,(),|S128
391,AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/position,1,(),|S128
392,AwakeEventData/MPPAWAKE-STANDA-12.AXIS03/Movement/rightLimitSwitchReached,1,(),|S128
393,AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/leftLimitSwitchReached,1,(),|S128
394,AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/position,1,(),|S128
395,AwakeEventData/MPPAWAKE-STANDA-12.AXIS04/Movement/rightLimitSwitchReached,1,(),|S128
396,AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/leftLimitSwitchReached,1,(),|S128
397,AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/position,1,(),|S128
398,AwakeEventData/MPPAWAKE-STANDA-12.AXIS05/Movement/rightLimitSwitchReached,1,(),|S128
399,AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/leftLimitSwitchReached,1,(),|S128
400,AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/position,1,(),|S128
401,AwakeEventData/MPPAWAKE-STANDA-12.AXIS06/Movement/rightLimitSwitchReached,1,(),|S128
402,AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/leftLimitSwitchReached,1,(),|S128
403,AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/position,1,(),|S128
404,AwakeEventData/MPPAWAKE-STANDA-12.AXIS07/Movement/rightLimitSwitchReached,1,(),|S128
405,AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/leftLimitSwitchReached,1,(),|S128
406,AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/position,1,(),|S128
407,AwakeEventData/MPPAWAKE-STANDA-12.AXIS08/Movement/rightLimitSwitchReached,1,(),|S128
408,AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/leftLimitSwitchReached,1,(),|S128
409,AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/position,1,(),|S128
410,AwakeEventData/MPPAWAKE-STANDA-12.AXIS09/Movement/rightLimitSwitchReached,1,(),|S128
411,AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement/leftLimitSwitchReached,1,(),|S128
412,AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement/position,1,(),|S128
413,AwakeEventData/MPPAWAKE-STANDA-12.AXIS10/Movement/rightLimitSwitchReached,1,(),|S128
414,AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement/leftLimitSwitchReached,1,(),|S128
415,AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement/position,1,(),|S128
416,AwakeEventData/MPPAWAKE-STANDA-12.AXIS11/Movement/rightLimitSwitchReached,1,(),|S128
417,AwakeEventData/MPPAWAKE-STANDA-12.AXIS12/Movement/leftLimitSwitchReached,1,(),|S128
418,AwakeEventData/MPPAWAKE-STANDA-12.AXIS12/Movement/position,1,(),|S128
419,AwakeEventData/MPPAWAKE-STANDA-12.AXIS12/Movement/rightLimitSwitchReached,1,(),|S128
420,AwakeEventData/PMOTOR01/Acquisition/position,1,"(1,)",int32
421,AwakeEventData/PMOTOR02/Acquisition/position,1,"(1,)",int32
422,AwakeEventData/PMOTOR03/Acquisition/position,1,"(1,)",int32
423,AwakeEventData/PMOTOR04/Acquisition/position,1,"(1,)",int32
424,AwakeEventData/PMOTOR05/Acquisition/position,1,"(1,)",int32
425,AwakeEventData/PMOTOR06/Acquisition/position,1,"(1,)",int32
426,AwakeEventData/PMOTOR13/Acquisition/position,1,"(1,)",int32
427,AwakeEventData/PMOTOR14/Acquisition/position,1,"(1,)",int32
428,AwakeEventData/PMOTOR15/Acquisition/position,1,"(1,)",int32
429,AwakeEventData/PMOTOR16/Acquisition/position,1,"(1,)",int32
430,AwakeEventData/Plunger.412401/StartCounterSt/value,1,"(1,)",int32
431,AwakeEventData/Plunger.412401/State/value,1,"(1,)",int16
432,AwakeEventData/Plunger.412422/StartCounterSt/value,1,"(1,)",int32
433,AwakeEventData/Plunger.412422/State/value,1,"(1,)",int16
434,AwakeEventData/RADMON.AWAKE-1/Acquisition/SEUType1,1,"(1,)",float64
435,AwakeEventData/RADMON.AWAKE-1/Acquisition/SEUType2,1,"(1,)",float64
436,AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank1HadronFluence,1,"(1,)",float64
437,AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank1MBUCounts,1,"(1,)",int32
438,AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank1SEUCounts,1,"(1,)",int32
439,AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank2HadronFluence,1,"(1,)",float64
440,AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank2MBUCounts,1,"(1,)",int32
441,AwakeEventData/RADMON.AWAKE-1/Acquisition/cumBank2SEUCounts,1,"(1,)",int32
442,AwakeEventData/RADMON.AWAKE-1/Acquisition/cumNeutronFluence,1,"(1,)",float64
443,AwakeEventData/RADMON.AWAKE-1/Acquisition/cumTID1,1,"(1,)",float64
444,AwakeEventData/RADMON.AWAKE-1/Acquisition/cumTID2,1,"(1,)",float64
445,AwakeEventData/RADMON.AWAKE-1/Acquisition/lPar1,1,"(1,)",float64
446,AwakeEventData/RADMON.AWAKE-1/Acquisition/lPar2,1,"(1,)",float64
447,AwakeEventData/RADMON.AWAKE-1/Acquisition/lPar3,1,"(1,)",float64
448,AwakeEventData/RADMON.AWAKE-1/Acquisition/lParType,1,"(1,)",float64
449,AwakeEventData/RADMON.AWAKE-1/Acquisition/pinDiodeType,1,"(1,)",int32
450,AwakeEventData/RADMON.AWAKE-1/Acquisition/radfet1Type,1,"(1,)",int32
451,AwakeEventData/RADMON.AWAKE-1/Acquisition/radfet2Type,1,"(1,)",int32
452,AwakeEventData/RADMON.AWAKE-1/Acquisition/radmonStatus,1,"(1,)",int32
453,AwakeEventData/RADMON.AWAKE-1/Acquisition/revisionNumber,1,"(1,)",int32
454,AwakeEventData/RADMON.AWAKE-1/Acquisition/revisionType,1,"(1,)",int32
455,AwakeEventData/RADMON.AWAKE-2/Acquisition/SEUType1,1,"(1,)",float64
456,AwakeEventData/RADMON.AWAKE-2/Acquisition/SEUType2,1,"(1,)",float64
457,AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank1HadronFluence,1,"(1,)",float64
458,AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank1MBUCounts,1,"(1,)",int32
459,AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank1SEUCounts,1,"(1,)",int32
460,AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2HadronFluence,1,"(1,)",float64
461,AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2MBUCounts,1,"(1,)",int32
462,AwakeEventData/RADMON.AWAKE-2/Acquisition/cumBank2SEUCounts,1,"(1,)",int32
463,AwakeEventData/RADMON.AWAKE-2/Acquisition/cumNeutronFluence,1,"(1,)",float64
464,AwakeEventData/RADMON.AWAKE-2/Acquisition/cumTID1,1,"(1,)",float64
465,AwakeEventData/RADMON.AWAKE-2/Acquisition/cumTID2,1,"(1,)",float64
466,AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar1,1,"(1,)",float64
467,AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar2,1,"(1,)",float64
468,AwakeEventData/RADMON.AWAKE-2/Acquisition/lPar3,1,"(1,)",float64
469,AwakeEventData/RADMON.AWAKE-2/Acquisition/lParType,1,"(1,)",float64
470,AwakeEventData/RADMON.AWAKE-2/Acquisition/pinDiodeType,1,"(1,)",int32
471,AwakeEventData/RADMON.AWAKE-2/Acquisition/radfet1Type,1,"(1,)",int32
472,AwakeEventData/RADMON.AWAKE-2/Acquisition/radfet2Type,1,"(1,)",int32
473,AwakeEventData/RADMON.AWAKE-2/Acquisition/radmonStatus,1,"(1,)",int32
474,AwakeEventData/RADMON.AWAKE-2/Acquisition/revisionNumber,1,"(1,)",int32
475,AwakeEventData/RADMON.AWAKE-2/Acquisition/revisionType,1,"(1,)",int32
476,AwakeEventData/RADMON.AWAKE-3/Acquisition/SEUType1,1,"(1,)",float64
477,AwakeEventData/RADMON.AWAKE-3/Acquisition/SEUType2,1,"(1,)",float64
478,AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank1HadronFluence,1,"(1,)",float64
479,AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank1MBUCounts,1,"(1,)",int32
480,AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank1SEUCounts,1,"(1,)",int32
481,AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank2HadronFluence,1,"(1,)",float64
482,AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank2MBUCounts,1,"(1,)",int32
483,AwakeEventData/RADMON.AWAKE-3/Acquisition/cumBank2SEUCounts,1,"(1,)",int32
484,AwakeEventData/RADMON.AWAKE-3/Acquisition/cumNeutronFluence,1,"(1,)",float64
485,AwakeEventData/RADMON.AWAKE-3/Acquisition/cumTID1,1,"(1,)",float64
486,AwakeEventData/RADMON.AWAKE-3/Acquisition/cumTID2,1,"(1,)",float64
487,AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar1,1,"(1,)",float64
488,AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar2,1,"(1,)",float64
489,AwakeEventData/RADMON.AWAKE-3/Acquisition/lPar3,1,"(1,)",float64
490,AwakeEventData/RADMON.AWAKE-3/Acquisition/lParType,1,"(1,)",float64
491,AwakeEventData/RADMON.AWAKE-3/Acquisition/pinDiodeType,1,"(1,)",int32
492,AwakeEventData/RADMON.AWAKE-3/Acquisition/radfet1Type,1,"(1,)",int32
493,AwakeEventData/RADMON.AWAKE-3/Acquisition/radfet2Type,1,"(1,)",int32
494,AwakeEventData/RADMON.AWAKE-3/Acquisition/radmonStatus,1,"(1,)",int32
495,AwakeEventData/RADMON.AWAKE-3/Acquisition/revisionNumber,1,"(1,)",int32
496,AwakeEventData/RADMON.AWAKE-3/Acquisition/revisionType,1,"(1,)",int32
497,AwakeEventData/RPADA.BB4.RQNI.412432/MEAS.I,1,"(1,)",float32
498,AwakeEventData/RPADA.BB4.RQNI.412432/REF.I,1,"(1,)",float32
499,AwakeEventData/RPCAH.TSG4.RCIBH.412344/Acquisition/currentAverage,1,"(1,)",float32
500,AwakeEventData/RPCAH.TSG4.RCIBH.412345/Acquisition/currentAverage,1,"(1,)",float32
501,AwakeEventData/RPCAH.TSG4.RCIBH.412347/Acquisition/currentAverage,1,"(1,)",float32
502,AwakeEventData/RPCAH.TSG4.RCIBH.412349/Acquisition/currentAverage,1,"(1,)",float32
503,AwakeEventData/RPCAH.TSG4.RCIBH.412353/Acquisition/currentAverage,1,"(1,)",float32
504,AwakeEventData/RPCAH.TSG4.RCIBH.430011/Acquisition/currentAverage,1,"(1,)",float32
505,AwakeEventData/RPCAH.TSG4.RCIBH.430029/Acquisition/currentAverage,1,"(1,)",float32
506,AwakeEventData/RPCAH.TSG4.RCIBH.430040/Acquisition/currentAverage,1,"(1,)",float32
507,AwakeEventData/RPCAH.TSG4.RCIBH.430104/Acquisition/currentAverage,1,"(1,)",float32
508,AwakeEventData/RPCAH.TSG4.RCIBH.430130/Acquisition/currentAverage,1,"(1,)",float32
509,AwakeEventData/RPCAH.TSG4.RCIBH.430204/Acquisition/currentAverage,1,"(1,)",float32
510,AwakeEventData/RPCAH.TSG4.RCIBH.430309/Acquisition/currentAverage,1,"(1,)",float32
511,AwakeEventData/RPCAH.TSG4.RCIBV.412344/Acquisition/currentAverage,1,"(1,)",float32
512,AwakeEventData/RPCAH.TSG4.RCIBV.412345/Acquisition/currentAverage,1,"(1,)",float32
513,AwakeEventData/RPCAH.TSG4.RCIBV.412347/Acquisition/currentAverage,1,"(1,)",float32
514,AwakeEventData/RPCAH.TSG4.RCIBV.412349/Acquisition/currentAverage,1,"(1,)",float32
515,AwakeEventData/RPCAH.TSG4.RCIBV.412353/Acquisition/currentAverage,1,"(1,)",float32
516,AwakeEventData/RPCAH.TSG4.RCIBV.430011/Acquisition/currentAverage,1,"(1,)",float32
517,AwakeEventData/RPCAH.TSG4.RCIBV.430029/Acquisition/currentAverage,1,"(1,)",float32
518,AwakeEventData/RPCAH.TSG4.RCIBV.430040/Acquisition/currentAverage,1,"(1,)",float32
519,AwakeEventData/RPCAH.TSG4.RCIBV.430104/Acquisition/currentAverage,1,"(1,)",float32
520,AwakeEventData/RPCAH.TSG4.RCIBV.430130/Acquisition/currentAverage,1,"(1,)",float32
521,AwakeEventData/RPCAH.TSG4.RCIBV.430204/Acquisition/currentAverage,1,"(1,)",float32
522,AwakeEventData/RPCAH.TSG4.RCIBV.430309/Acquisition/currentAverage,1,"(1,)",float32
523,AwakeEventData/RPCAH.TSG4.RQID.412344/Acquisition/currentAverage,1,"(1,)",float32
524,AwakeEventData/RPCAH.TSG4.RQID.412347/Acquisition/currentAverage,1,"(1,)",float32
525,AwakeEventData/RPCAH.TSG4.RQID.430031/Acquisition/currentAverage,1,"(1,)",float32
526,AwakeEventData/RPCAH.TSG4.RQID.430037/Acquisition/currentAverage,1,"(1,)",float32
527,AwakeEventData/RPCAH.TSG4.RQID.430109S/Acquisition/currentAverage,1,"(1,)",float32
528,AwakeEventData/RPCAH.TSG4.RQIF.412346/Acquisition/currentAverage,1,"(1,)",float32
529,AwakeEventData/RPCAH.TSG4.RQIF.430034/Acquisition/currentAverage,1,"(1,)",float32
530,AwakeEventData/RPCAH.TSG4.RQIF.430118/Acquisition/currentAverage,1,"(1,)",float32
531,AwakeEventData/RPCAH.TSG4.RQIF.430205/Acquisition/currentAverage,1,"(1,)",float32
532,AwakeEventData/RPCAH.TSG4.RQIF.430311/Acquisition/currentAverage,1,"(1,)",float32
533,AwakeEventData/RPPEF.BB4.RBIH.412435/MEAS.I,1,"(1,)",float32
534,AwakeEventData/RPPEF.BB4.RBIH.412435/REF.I,1,"(1,)",float32
535,AwakeEventData/RPSKN.TSG4.SNH.430000/Acquisition/currentAverage,1,"(1,)",float32
536,AwakeEventData/RPSKN.TSG4.SNJ.430001/Acquisition/currentAverage,1,"(1,)",float32
537,AwakeEventData/SPS.BCTDC.41435/Acquisition/acqDesc,1,"(1,)",|S1
538,AwakeEventData/SPS.BCTDC.41435/Acquisition/acqMsg,1,"(1,)",|S32
539,AwakeEventData/SPS.BCTDC.41435/Acquisition/acqState,1,"(1,)",int32
540,AwakeEventData/SPS.BCTDC.41435/Acquisition/acqTime,1,"(1,)",|S25
541,AwakeEventData/SPS.BCTDC.41435/Acquisition/calMarkerData,1120,"(1120,)",int16
542,AwakeEventData/SPS.BCTDC.41435/Acquisition/cycleTime,1,"(1,)",|S1
543,AwakeEventData/SPS.BCTDC.41435/Acquisition/dumpCycleTime,1,"(1,)",int32
544,AwakeEventData/SPS.BCTDC.41435/Acquisition/dumpInt,1,"(1,)",float32
545,AwakeEventData/SPS.BCTDC.41435/Acquisition/inCheckStatusData,1120,"(1120,)",int16
546,AwakeEventData/SPS.BCTDC.41435/Acquisition/lowIbStatusData,1120,"(1120,)",int16
